58, s, 72, 38
1, D, 39, 4
50, B, 72, 59
5, H, 3, 80
56, y, 62, 67
26, G, 21, 55
7, Y, 96, 52
77, c, 74, 95
42, B, 48, 31
34, n, 15, 73
46, N, 73, 12
70, e, 28, 18
56, p, 71, 48
39, F, 48, 64
68, S, 17, 82
99, b, 91, 56
23, k, 94, 75
55, q, 60, 10
62, S, 57, 29
17, r, 29, 75
34, o, 93, 75
55, E, 40, 57
64, O, 48, 56
16, o, 3, 38
36, i, 52, 54
11, P, 55, 84
65, P, 85, 68
74, K, 45, 56
55, X, 65, 49
95, M, 30, 72
1, c, 10, 2
67, d, 20, 12
59, A, 3, 77
32, t, 3, 97
86, t, 78, 58
1, Y, 0, 68
49, A, 58, 73
91, o, 79, 88
17, d, 70, 66
1, m, 96, 54
97, Y, 75, 56
56, F, 13, 50
46, s, 91, 2
70, u, 3, 53
5, p, 77, 65
78, h, 94, 43
11, L, 24, 44
27, f, 7, 51
95, c, 42, 22
90, q, 9, 99
63, h, 40, 71
5, w, 56, 100
57, A, 29, 72
30, X, 77, 19
68, O, 82, 54
60, X, 27, 69
52, F, 35, 62
86, H, 80, 49
14, f, 52, 64
12, m, 27, 6
8, V, 70, 26
99, k, 54, 29
28, u, 65, 30
50, g, 34, 77
24, V, 75, 26
91, m, 71, 36
72, k, 79, 40
95, m, 36, 66
98, f, 89, 5
38, N, 56, 95
72, R, 40, 90
81, n, 92, 91
52, K, 43, 37
50, m, 24, 23
98, Z, 37, 18
93, x, 52, 71
20, q, 49, 94
76, X, 68, 93
1, E, 32, 49
41, k, 41, 42
57, g, 82, 68
68, d, 36, 76
37, m, 8, 3
42, n, 31, 33
80, E, 48, 49
51, J, 90, 85
31, N, 16, 20
68, I, 75, 93
85, y, 67, 8
30, i, 60, 42
15, x, 59, 8
68, o, 37, 32
65, i, 52, 56
2, n, 85, 100
56, v, 75, 49
27, h, 19, 49
86, j, 38, 32
76, s, 34, 10
84, I, 54, 9
74, X, 54, 78
86, z, 49, 5
23, Q, 61, 41
66, p, 32, 40
37, q, 63, 30
36, K, 54, 19
64, p, 67, 45
8, e, 3, 46
87, D, 32, 41
3, s, 20, 0
63, b, 81, 11
25, k, 31, 20
33, C, 99, 11
90, Q, 93, 98
72, H, 89, 60
25, i, 8, 43
76, i, 77, 35
67, z, 38, 81
60, D, 32, 36
85, v, 48, 90
32, d, 63, 74
74, O, 44, 34
37, R, 61, 42
81, m, 76, 58
42, K, 98, 47
26, F, 53, 68
77, c, 58, 42
59, J, 23, 1
14, p, 41, 52
13, a, 23, 69
23, P, 64, 47
37, i, 58, 64
22, H, 81, 71
34, w, 59, 71
71, h, 44, 19
2, a, 34, 10
74, u, 49, 62
27, K, 17, 21
1, B, 54, 28
0, V, 73, 93
71, g, 8, 96
45, I, 26, 84
80, s, 3, 92
37, V, 38, 44
59, k, 14, 95
84, S, 41, 86
17, B, 70, 82
56, D, 19, 24
4, E, 78, 63
54, B, 20, 50
9, I, 77, 76
46, C, 85, 85
2, C, 65, 91
38, E, 55, 79
19, W, 52, 42
29, t, 53, 34
33, z, 14, 81
59, S, 26, 16
8, p, 36, 60
89, D, 52, 70
66, B, 98, 58
34, I, 4, 23
85, o, 51, 97
43, h, 19, 33
70, y, 38, 7
84, M, 30, 55
60, d, 46, 9
16, z, 32, 70
85, J, 1, 47
18, V, 90, 38
57, c, 28, 97
83, k, 38, 63
3, c, 31, 88
28, e, 44, 85
40, H, 58, 61
22, b, 8, 61
33, D, 82, 32
0, D, 28, 15
53, C, 21, 29
59, G, 5, 47
19, k, 50, 55
15, P, 78, 6
77, x, 75, 77
34, X, 61, 17
71, n, 36, 75
34, i, 43, 79
42, N, 56, 83
38, r, 77, 1
62, u, 14, 48
64, b, 60, 34
94, E, 79, 25
52, j, 26, 43
93, Y, 26, 49
41, i, 38, 57
58, e, 91, 67
42, k, 55, 22
54, E, 93, 16
84, k, 35, 59
71, k, 69, 83
91, a, 67, 35
64, o, 72, 100
